c-native,6.31266
c-drio,5.591215
c-c-empty,5.603559,0
c-c-empty,5.586863,0
c-c-dm,5.660321,0
c-c-dm,5.75822,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.738872,0
c-c-dm-errs-bad,6.176948,0
c-c-dm-errs-stats,2821,0,37179,0,2821,37179,3720
c-native,6.313892
c-drio,5.630658
c-c-empty,5.659492,0
c-c-empty,5.599776,0
c-c-dm,5.682358,0
c-c-dm,5.699504,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.665964,0
c-c-dm-errs-bad,6.165158,0
c-c-dm-errs-stats,5046,0,34954,0,5046,34954,3496
c-native,6.314084
c-drio,5.594899
c-c-empty,5.601093,0
c-c-empty,5.591603,0
c-c-dm,5.675433,0
c-c-dm,5.664527,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.67115,0
c-c-dm-errs-bad,6.161718,0
c-c-dm-errs-stats,4765,0,35235,0,4765,35235,3525
c-native,6.315188
c-drio,5.613527
c-c-empty,5.598143,0
c-c-empty,5.592734,0
c-c-dm,5.673705,0
c-c-dm,5.663711,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.669298,0
c-c-dm-errs-bad,6.193686,0
c-c-dm-errs-stats,6646,0,33354,0,6646,33354,3335
c-native,6.307876
c-drio,5.599305
c-c-empty,5.592193,0
c-c-empty,5.58885,0
c-c-dm,5.801328,0
c-c-dm,5.666947,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.664427,0
c-c-dm-errs-bad,6.156249,0
c-c-dm-errs-stats,5016,0,34984,0,5016,34984,3501
c-native,6.311778
c-drio,5.593621
c-c-empty,5.598657,0
c-c-empty,5.595025,0
c-c-dm,5.670807,0
c-c-dm,5.66047,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.697985,0
c-c-dm-errs-bad,6.159064,0
c-c-dm-errs-stats,3611,0,36389,0,3611,36389,3638
c-native,6.313493
c-drio,5.586797
c-c-empty,5.5917,0
c-c-empty,5.594735,0
c-c-dm,5.713962,0
c-c-dm,5.663009,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.666658,0
c-c-dm-errs-bad,6.158443,0
c-c-dm-errs-stats,5016,0,34984,0,5016,34984,3501
c-native,6.314864
c-drio,5.628809
c-c-empty,5.597453,0
c-c-empty,5.614555,0
c-c-dm,5.668818,0
c-c-dm,5.663536,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.678299,0
c-c-dm-errs-bad,6.165774,0
c-c-dm-errs-stats,4492,0,35508,0,4492,35508,3549
c-native,6.329043
c-drio,5.595153
c-c-empty,5.642035,0
c-c-empty,5.594163,0
c-c-dm,5.68669,0
c-c-dm,5.661316,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.672372,0
c-c-dm-errs-bad,6.17046,0
c-c-dm-errs-stats,6687,0,33313,0,6687,33313,3329
c-native,6.313788
c-drio,5.589958
c-c-empty,5.596828,0
c-c-empty,5.633089,0
c-c-dm,5.67778,0
c-c-dm,5.708859,0
c-c-dm-stats,0,0,40000,0,0,40000,0
c-c-dm-errs-good,5.713242,0
c-c-dm-errs-bad,6.176948,0
c-c-dm-errs-stats,4127,0,35873,0,4127,35873,3587
