type,time,monitor
no errors,0.52,vamos
no errors,0.53,vamos
no errors,0.52,vamos
no errors,0.51,vamos
no errors,0.52,vamos
no errors,0.53,vamos
no errors,0.52,vamos
no errors,0.51,vamos
no errors,0.53,vamos
no errors,0.53,vamos
errors,0.53,vamos
errors,0.52,vamos
errors,0.52,vamos
errors,0.52,vamos
errors,0.53,vamos
errors,0.53,vamos
errors,0.52,vamos
errors,0.53,vamos
errors,0.52,vamos
errors,0.52,vamos
no errors,0.04,tessla
errors,0.03,tessla
no errors,0.04,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
no errors,0.03,tessla
errors,0.03,tessla
