type,time,monitor
no_errors,0.61,vamos
errors,0.60,vamos
no_errors,0.88,tessla
errors,0.87,tessla
no_errors,0.39,vamos
errors,0.39,vamos
no_errors,0.87,tessla
errors,0.89,tessla
no_errors,0.39,vamos
errors,0.39,vamos
no_errors,0.86,tessla
errors,0.87,tessla
no_errors,0.39,vamos
errors,0.40,vamos
no_errors,0.88,tessla
errors,0.87,tessla
no_errors,0.39,vamos
errors,0.60,vamos
no_errors,0.90,tessla
errors,0.87,tessla
no_errors,0.39,vamos
errors,0.39,vamos
no_errors,0.87,tessla
errors,0.87,tessla
no_errors,0.61,vamos
errors,0.39,vamos
no_errors,0.90,tessla
errors,0.86,tessla
no_errors,0.40,vamos
errors,0.39,vamos
no_errors,0.88,tessla
errors,0.93,tessla
no_errors,0.39,vamos
errors,0.39,vamos
no_errors,0.90,tessla
errors,0.88,tessla
no_errors,0.39,vamos
errors,0.39,vamos
no_errors,0.87,tessla
errors,0.88,tessla
